bytes,final_url,kind,label,local_path,mime,original_url,referer,sha256,source_id,source_type
4793,https://books.r10s.jp/fan/images/oshiraku-images/onitaiji_main_5afc7fac0a.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00023__onitaiji_main_5afc7fac0a.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/onitaiji_main_5afc7fac0a.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,dd51cd50b5677769ed936a8beffbcdce37cf5cdb07191b1f6c52210f51677a10,sukisugite_metsu_00023,html_media
1941,https://books.r10s.jp/fan/images/oshiraku-images/2_abd7606d19.svg,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00011__2_abd7606d19.svg,image/svg+xml,https://books.r10s.jp/fan/images/oshiraku-images/2_abd7606d19.svg,https://fan.books.rakuten.co.jp/articles/3866,854c53a6a4d011732716a04d78731be3d77c6ae258f48e813afaff0eb5ca3f72,sukisugite_metsu_00011,html_media
3294,https://books.r10s.jp/fan/images/oshiraku-images/4_ae5c2b043a.svg,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00013__4_ae5c2b043a.svg,image/svg+xml,https://books.r10s.jp/fan/images/oshiraku-images/4_ae5c2b043a.svg,https://fan.books.rakuten.co.jp/articles/3866,f41e88fa2d0ced9cb688647828393533ada049aaae6c01ee17a86f17c9407b3d,sukisugite_metsu_00013,html_media
2665,https://books.r10s.jp/fan/images/oshiraku-images/1_e9677a9a92.svg,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00010__1_e9677a9a92.svg,image/svg+xml,https://books.r10s.jp/fan/images/oshiraku-images/1_e9677a9a92.svg,https://fan.books.rakuten.co.jp/articles/3866,9124aa2dcfc30cf829fd5f07c5e3879a861b7e0df785ef2b8ec4e415e8ff3274,sukisugite_metsu_00010,html_media
2075,https://books.r10s.jp/fan/images/oshiraku-images/8_e8d3bea7e9.svg,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00017__8_e8d3bea7e9.svg,image/svg+xml,https://books.r10s.jp/fan/images/oshiraku-images/8_e8d3bea7e9.svg,https://fan.books.rakuten.co.jp/articles/3866,fecbf5cc240c61de4a88550595769da76c1a8a76e9ae7ee2ebe68570578fa356,sukisugite_metsu_00017,html_media
4285,https://books.r10s.jp/fan/images/oshiraku-images/10_23affc61d1.svg,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00019__10_23affc61d1.svg,image/svg+xml,https://books.r10s.jp/fan/images/oshiraku-images/10_23affc61d1.svg,https://fan.books.rakuten.co.jp/articles/3866,fd16964ce9e4ccca65faa09c51458dd189a735d03e9cc05eebdfd477ab164dd6,sukisugite_metsu_00019,html_media
3370,https://books.r10s.jp/fan/images/oshiraku-images/5_8b43aca1e4.svg,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00014__5_8b43aca1e4.svg,image/svg+xml,https://books.r10s.jp/fan/images/oshiraku-images/5_8b43aca1e4.svg,https://fan.books.rakuten.co.jp/articles/3866,9a767c4fbcc5d1e0013a8b1627e86a02371dc22230ebf280a02c9c09cd628c94,sukisugite_metsu_00014,html_media
3545,https://books.r10s.jp/fan/images/oshiraku-images/kiminosukihamuteki_main_a252fb2758.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00022__kiminosukihamuteki_main_a252fb2758.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/kiminosukihamuteki_main_a252fb2758.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,bd6d6e49258ee9c7eb487b1c4336bee489266215e08dfe7850346710f12151a4,sukisugite_metsu_00022,html_media
5009,https://books.r10s.jp/fan/images/oshiraku-images/sore_snowman_main_fdbac76c3d.jpg?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00024__sore_snowman_main_fdbac76c3d.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/sore_snowman_main_fdbac76c3d.jpg?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,09874276922b6ae783a4293132ecc545ccf4f921675b97f1863675b33c0554fb,sukisugite_metsu_00024,html_media
3921,https://books.r10s.jp/fan/images/oshiraku-images/695_BBK_0237_f7471491fd.JPG?fitin=96:72,actual_media,好きすぎて滅！ 元曲・MV関連実媒体,media/page_sources_sukisugite_metsu/sukisugite_metsu_00025__695_BBK_0237_f7471491fd.jpg,image/jpeg,https://books.r10s.jp/fan/images/oshiraku-images/695_BBK_0237_f7471491fd.JPG?fitin=96:72,https://fan.books.rakuten.co.jp/articles/3866,902fba2221f076a7586fea558c5b505626a0efdc5146864db801c610a0892a50,sukisugite_metsu_00025,html_media
