source_id,url,duplicate_of,sha256
sukisugite_metsu_0001_00064,https://books.r10s.jp/fan/images/oshiraku-images/AAK_0078_4ac330ff8b.JPG?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00028__AAK_0078_4ac330ff8b.jpg,cff91d6b0ca93ae3b34c74c41629904f6a61dde773cdb9c62acd19c12727fc68
sukisugite_metsu_0001_00066,https://books.r10s.jp/fan/images/oshiraku-images/goodphrases_main_097086e8c5.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00032__goodphrases_main_097086e8c5.jpg,14a5e57a18eaf5f61183debc8477eed28fffa8ebedb4e9a87be1e53cb250e930
sukisugite_metsu_0001_00065,https://books.r10s.jp/fan/images/oshiraku-images/BBK_0463_8f882c7ef6.JPG?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00029__BBK_0463_8f882c7ef6.jpg,093834fc2d9bc225b32bd51c432cef6f2e6dd905f65adc2c16429e3ec91f8ccc
sukisugite_metsu_0001_00049,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=2048&q=75,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00043__image.png,ea40eb74e3401b5883f76ac212b3cedc1ad0d6a1d55612c8d273628218a22f7a
sukisugite_metsu_0001_00069,https://books.r10s.jp/fan/images/oshiraku-images/tamotsun_main_0d9b3778d5.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00035__tamotsun_main_0d9b3778d5.jpg,5dfd804868ca1f18b0ea40ae58ff488afeefd6216bf73d6b1e05a16825855633
sukisugite_metsu_0001_00067,https://books.r10s.jp/fan/images/oshiraku-images/edogawakai_main_959a1b3f43.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00033__edogawakai_main_959a1b3f43.jpg,5b74747459d486aabb5cb4e666a12deb2ace94a892ac51994fb8df780076dda8
sukisugite_metsu_0001_00073,https://books.r10s.jp/fan/images/oshiraku-images/kaeremonday_main_0d93cfaa64.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00039__kaeremonday_main_0d93cfaa64.jpg,dd1c6e7198ac51c106b938d882dd986ef8dfe4356ec8b465cb9838a5be8ab064
sukisugite_metsu_0001_00047,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=1200&q=75,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00043__image.png,ea40eb74e3401b5883f76ac212b3cedc1ad0d6a1d55612c8d273628218a22f7a
sukisugite_metsu_0001_00070,https://books.r10s.jp/fan/images/oshiraku-images/chiikawa_main_78cc89060b.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00036__chiikawa_main_78cc89060b.jpg,caba8bde833a32bcbe9e3d49ee8f1fd15b5bd51c01f261b750ccce7125f13279
sukisugite_metsu_0001_00072,https://books.r10s.jp/fan/images/oshiraku-images/glengarryglenross_main_c5965fc3f2.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00038__glengarryglenross_main_c5965fc3f2.jpg,2fd3d5e5e4d901e536c1e84f322ea34310e8b224bd18a483bbfaa15ffb98cf48
sukisugite_metsu_0001_00071,https://books.r10s.jp/fan/images/oshiraku-images/showerofheart_main_973beca77a.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00037__showerofheart_main_973beca77a.jpg,1afe345aca50a5f5a0b45b50cbca38d2c636cbcc03f3e3d251d4f916b883bc6e
sukisugite_metsu_0001_00074,https://books.r10s.jp/fan/images/oshiraku-images/tetuwandassyu_main_d63e4059a4.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00040__tetuwandassyu_main_d63e4059a4.jpg,93d856655aa2bc2222e09c16e1d1786d13052b4f4c753477ac352d1052153426
sukisugite_metsu_0001_00075,https://books.r10s.jp/fan/images/oshiraku-images/300yennoshinigami_main_5502e50405.jpg?fitin=96:72&#x27;),media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00041__300yennoshinigami_main_5502e50405.jpg,7e03b260cd4ba551ee6ae7e5575e9dac702f3d5e7a45e5a859be818e9892cdca
sukisugite_metsu_0001_00024,https://books.r10s.jp/fan/images/oshiraku-images/sore_snowman_main_fdbac76c3d.jpg?fitin=96:72,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00060__sore_snowman_main_fdbac76c3d.jpg,09874276922b6ae783a4293132ecc545ccf4f921675b97f1863675b33c0554fb
sukisugite_metsu_0001_00045,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=828&q=75,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00043__image.png,ea40eb74e3401b5883f76ac212b3cedc1ad0d6a1d55612c8d273628218a22f7a
sukisugite_metsu_0001_00042,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=3840&q=75,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00043__image.png,ea40eb74e3401b5883f76ac212b3cedc1ad0d6a1d55612c8d273628218a22f7a
sukisugite_metsu_0001_00044,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=750&q=75,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00043__image.png,ea40eb74e3401b5883f76ac212b3cedc1ad0d6a1d55612c8d273628218a22f7a
sukisugite_metsu_0001_00046,https://fan.books.rakuten.co.jp/_next/image?url=%2Fimages%2Fsns%2Fx.png&w=1080&q=75,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00043__image.png,ea40eb74e3401b5883f76ac212b3cedc1ad0d6a1d55612c8d273628218a22f7a
sukisugite_metsu_0001_00104,https://fan.books.rakuten.co.jp/apple-touch-icon-precomposed.png,media/specific_meme_page_sukisugite_metsu/sukisugite_metsu_0001_00103__apple-touch-icon.png,bc5025dbe72fe78519570caf5dda7e2da07a4e92c93b8189b2505fa4b72649a9
